memorialis_naam,naam,QID,Facebook_ID,social media followers,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar,911    1,naam alternatief,681   ,902   ,903   ,viaf id,Column 1,035   ,035    1,670   ,375   ,900   ,901   ,920   ,046   ,905   ,COR   ,911   ,912   ,910   ,85642 ,906   ,5001  ,904   ,000   ,678   ,8564  ,1101  ,5102  ,4101  ,908   ,599   ,856   ,998   ,4102  
"Vermeulen, Urbain",Urbain Vermeulen,Q2420272,,,,,,,1940,2016,Universiteit Gent$$s20061001$$iemeritus,,$$aAndere Taal- en Letterkunde,,,14949410,000005827 ,$$a(viaf)14949410,$$a,$$ahttp://m.standaard.be/cnt/dmf20160215_02130120,$$aman,$$aOordegem$$bOost-Vlaanderen$$cBelgië,$$aGent$$bOost-Vlaanderen$$cBelgië,$$apersoon,$$f19401228$$g20160213$$s1992$$t20061001,,"$$aVermeulen, Urbain$$0ZZZ",$$aUniversiteit Gent$$s20061001$$iemeritus,,$$avakgroep Talen en Culturen$$gLW21$$0mem10:000005996,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/827/000005827-01.jpg,,,,,,,,,,,,,,
"Verniers, Jacques",Jacques Verniers,Q56480196,,,,,,,1949,,faculteit Wetenschappen$$gWE$$s2009$$tunknown$$,,$$aAardwetenschappen en geografie,,,71625739,000005831 ,$$a(viaf)71625739,$$a,$$aEerste vermelding Studiegids 1998-99,$$aman,,,$$apersoon,$$f19491211$$gunknown$$s1998$$t20151001,,"$$aVerniers, Jacques$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2009$$tunknown$$ihoogleraar$$0mem10:000006034,,$$avakgroep Geologie en Bodemkunde$$gWE13$$0mem10:000006058,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/831/000005831-01.jpg,,,,,,,,,,,,,,
"Verplaetse, Jan",Jan Verplaetse,Q55232021,,,Jan Verplaetse.jpg,Jan Verplaetse,,,1969,,faculteit Recht en Criminologie$$gRE$$s2007$$tu,,$$aWijsbegeerte en Moraalwetenschap,,,36361128,000005834 ,$$a(viaf)36361128,$$a,$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$f19690609$$gunknown$$s2007$$tunknown,,"$$aVerplaetse, Jan$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2007$$tunknown$$idocent$$0mem10:000006010,,"$$avakgroep Metajuridica, Privaat- en Ondernemingsrecht$$gRE21$$0mem10:000006016",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/834/000005834-01.jpg,,,,,,,,,,,,,,
"Verplancke, Hubert",Hubert Verplancke,Q114416859,,,,,,,1941,,Universiteit Gent$$s2006$$iemeritus,,$$aToegepaste Biologische Wetenschappen,,,,000005836 ,$$a(biblio)801000148486,$$a(biblio)801000148486,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19410126$$gunknown$$s1992$$t2006,,,$$aUniversiteit Gent$$s2006$$iemeritus,,$$avakgroep Bodembeheer$$gBW12$$0mem10:000006204,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/836/000005836-01.jpg,,,,,,,,,,,,,,
"Verpoort, Francis",Francis Verpoort,Q47976689,,,,,,,1963,,faculteit Wetenschappen$$gWE$$s2008$$tunknown$$,,$$aChemie,,,,000005838 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19630914$$gunknown$$s1999$$tunknown,,"$$aVerpoort, Francis$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2008$$tunknown$$ihoofddocent$$0mem10:000006034,,$$avakgroep Anorganische en Fysische Chemie$$gWE06$$0mem10:000006050,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/838/000005838-01.jpg,,,,,,,,,,,,,,
"Verraes, Walter",Walter Verraes,Q55233114,,,,,,,1942,,Universiteit Gent$$s2005$$iemeritus,,$$aBiologie,,,162135401,000005839 ,$$a(viaf)162135401,$$a,$$aEerste vermelding Studiegids 1982-83,$$aman,,,$$apersoon,$$f19421010$$gunknown$$s1982$$t2005,,,$$aUniversiteit Gent$$s2005$$iemeritus,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/839/000005839-01.jpg,,,,,,,,,,,,,,
"Verreth, Herbert",Herbert Verreth,Q55232912,,,,,,,1965,,faculteit Letteren en Wijsbegeerte$$gLW$$s2003$,,$$aGeschiedenis en/of Archeologie,,,,000005840 ,$$a(biblio)801001375134,$$a(biblio)801001375134,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19650623$$gunknown$$sunknown$$tunknown,,"$$aVerreth, Herbert$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2003$$t2004$$igastdocent$$0mem10:000005974,,$$avakgroep Archeologie en oude geschiedenis van europa,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/840/000005840-01.jpg,,,,,,,,,,,,,,
"Verschaffel, Bart",Bart Verschaffel,Q18649101,,,Bert Verschaffel.jpg,Bart Verschaffel,,,1956,,faculteit Ingenieurswetenschappen en Architectu,,$$aWetenschap en Technologie van Constructies en de Gebouwde Omgeving,,,266124078,000005841 ,$$a(viaf)266124078,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19560514$$gunknown$$s1992$$tunknown,,"$$aVerschaffel, Bart$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s2009$$tunknown$$igewoon hoogleraar$$0mem10:000006102,$$avakgroep Architectuur en Stedenbouw$$gEA01$$s2005$$t2010$$ivoorzitter$$0mem10:000006108,$$avakgroep Architectuur en Stedenbouw$$gEA01$$0mem10:000006108,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/841/000005841-01.jpg,,,,,,,,,,,,,,
"Verschelde, Henri",Henri Verschelde,Q102117482,,,,,,,1957,,faculteit Wetenschappen$$gWE$$s2006$$tunknown$$,,$$aFysica en Sterrenkunde,,,,000005843 ,$$a(biblio)801000442621,$$a(biblio)801000442621,$$aEerste vermelding Studiegids 1996-97,$$aman,,,$$apersoon,$$f19570313$$gunknown$$s1996$$tunknown,,"$$aVerschelde, Henri$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2006$$tunknown$$igewoon hoogleraar$$0mem10:000006034,,$$avakgroep Wiskundige Natuurkunde en Sterrenkunde$$gWE03$$0mem10:000006047,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/843/000005843-01.jpg,,,,,,,,,,,,,,
"Verschuren, Dirk",Dirk Verschuren,Q55232481,,,,,,,1964,,faculteit Wetenschappen$$gWE$$s2005$$tunknown$$,,$$aBiologie,,,313559113,000005848 ,$$a(viaf)313559113,$$a,$$aEerste vermelding Studiegids 2005-06,$$aman,,,$$apersoon,$$f19640831$$gunknown$$s2005$$tunknown,,"$$aVerschuren, Dirk$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2005$$tunknown$$ihoofddocent$$0mem10:000006034,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/848/000005848-01.jpg,,,,,,,,,,,,,,
"Versichelen, Linda",Linda Versichelen,Q55232248,,,,,,,1943,,Universiteit Gent$$s2007$$iemeritus,,$$aAndere Medische Disciplines,,,70595951,000005849 ,$$a(viaf)70595951,$$a,$$aEerste vermelding Studiegids 1992-93,$$avrouw,,,$$apersoon,$$f19430515$$gunknown$$s1992$$t2007,,,$$aUniversiteit Gent$$s2007$$iemeritus,,$$avakgroep Anesthesiologie en Peri-Operatieve Geneeskunde$$gGE23$$0mem10:000006097,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/849/000005849-01.jpg,,,,,,,,,,,,,,
"Versluys, Kristiaan",Kristiaan Versluys,Q55233707,,,,,,,1951,,faculteit Letteren en Wijsbegeerte$$gLW$$s2000$,,$$aGermaanse Taal- en Letterkunde,,,73884055,000005852 ,$$a(viaf)73884055,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19511108$$gunknown$$s1992$$tunknown,,"$$aVersluys, Kristiaan$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2000$$tunknown$$igewoon hoogleraar$$0mem10:000005974,$$avakgroep Engels$$gLW11$$s1998$$t2002$$ivoorzitter$$0mem10:000005993,$$avakgroep Letterkunde$$gLW07$$0mem10:000005987,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/852/000005852-01.jpg,,,,,,,,,,,,,,
"Verstraete, Alain",Alain Verstraete,Q43112072,,,,,,,1957,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aMedische Basiswetenschappen,,,,000005853 ,$$a(biblio)801000513147,$$a(biblio)801000513147,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19570510$$gunknown$$s2002$$tunknown,,"$$aVerstraete, Alain$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2007$$tunknown$$ihoogleraar$$0mem10:000006060,,"$$avakgroep Klinische Biologie, Microbiologie en Immunologie$$gGE06$$0mem10:000006079",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/853/000005853-01.jpg,,,,,,,,,,,,,,
"Verstraete, Willy",Willy Verstraete,Q18691588,,,Prof. Willy Verstraete - University of Ghent - Belgium (cropped).png,Willy Verstraete,,,1946,,Universiteit Gent$$s2011$$iemeritus,,$$aToegepaste Biologische Wetenschappen,,,237114312,000005856 ,$$a(viaf)237114312,$$a,$$aEerste vermelding Studiegids 1973-74,$$aman,$$aBeernem$$bWest-Vlaanderen$$cBelgië,,$$apersoon,$$f19460425$$gunknown$$s1972$$t2011,,,$$aUniversiteit Gent$$s2011$$iemeritus,$$aLaboratorium voor algemene en toegepaste microbiële ecologie$$s1979$$t1992$$idirecteur-diensthoofd$$0mem10:000008721,$$avakgroep Biochemische en Microbiële Technologie$$gBW06$$0mem10:000006198,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/856/000005856-01.jpg,,,,,,,,,,,,,,
"Verstraeten, Hans",Hans Verstraeten,Q55233591,,,,,,,1955,,faculteit Politieke en Sociale Wetenschappen$$g,,"$$aPolitieke, Sociale en Communicatiewetenschappen",,,25911091,000005857 ,$$a(viaf)25911091,$$a,$$aEerste vermelding Studiegids 2000-01,$$aman,,,$$apersoon,$$f19550115$$gunknown$$s2000$$tunknown,,"$$aVerstraeten, Hans$$0ZZZ",$$afaculteit Politieke en Sociale Wetenschappen$$gPS$$s2004$$tunknown$$igewoon hoogleraar$$0mem10:000006217,$$avakgroep Communicatiewetenschappen$$gPS01$$s2004$$t2008$$ivoorzitter$$0mem10:000006223,$$avakgroep Communicatiewetenschappen$$gPS01$$0mem10:000006223,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/857/000005857-01.jpg,,,,,,,,,,,,,,
"Vervaeck, Bart",Bart Vervaeck,Q57497693,,,,,,,1958,,faculteit Letteren en Wijsbegeerte$$gLW$$s2007$,,$$aGermaanse Taal- en Letterkunde,,,,000005858 ,$$a(biblio)802000197066,$$a(biblio)802000197066,$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$f19580726$$gunknown$$s2007$$tunknown,,"$$aVervaeck, Bart$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2007$$tunknown$$ihoogleraar$$0mem10:000005974,$$avakgroep Nederlandse Literatuur$$gLW10$$s2008$$t2011$$ivoorzitter$$0mem10:000005992,$$avakgroep Nederlandse Literatuur$$gLW10$$0mem10:000005992,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/858/000005858-01.jpg,,,,,,,,,,,,,,
"Vervaet, Chris",Chris Vervaet,Q86991652,,,,,,,1969,,faculteit Farmaceutische Wetenschappen$$gFW$$s2,,$$aFarmacie en Farmacologie,,,,000005860 ,$$a(biblio)801000867397,$$a(biblio)801000867397,$$aEerste vermelding Studiegids 2000-01,$$aman,,,$$apersoon,$$f19690122$$gunknown$$s2000$$tunknown,,"$$aVervaet, Chris$$0ZZZ",$$afaculteit Farmaceutische Wetenschappen$$gFW$$s2008$$tunknown$$ihoofddocent$$0mem10:000006209,$$avakgroep Geneesmiddelenleer$$gFW01$$s2015$$tunknown$$ivoorzitter$$0mem10:000006214,$$avakgroep Geneesmiddelenleer$$gFW01$$0mem10:000006214,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/860/000005860-01.jpg,,,,,,,,,,,,,,
"Vervaet, Myriam",Myriam Vervaet,Q55232829,,,,,,,1956,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aPsychologische en Pedagogische Wetenschappen,,,284407572,000005861 ,$$a(viaf)284407572,$$a,$$aEerste vermelding Studiegids 2000-01,$$avrouw,,,$$apersoon,$$f19560806$$gunknown$$s2000$$tunknown,,"$$aVervaet, Myriam$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2008$$tunknown$$ihoofddocent$$0mem10:000006060,,$$avakgroep Psychiatrie en Medische Psychologie$$gGE13$$0mem10:000006086,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/861/000005861-01.jpg,,,,,,,,,,,,,,
"Verwaal, Ernst",Ernst Verwaal,Q55232865,,,,,,,1964,,faculteit Economie en Bedrijfskunde$$gEB$$s2002,,"$$aEconomie, Bedrijfseconomie en Management",,,,000005864 ,$$a(biblio)801001615210,$$a(biblio)801001615210,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f1964$$gunknown$$sunknown$$tunknown,,"$$aVerwaal, Ernst$$0ZZZ",$$afaculteit Economie en Bedrijfskunde$$gEB$$s2002$$t2005$$igastdocent$$0mem10:000006129,,$$avakgroep Marketing$$gEB07$$0mem10:000006143,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/864/000005864-01.jpg,,,,,,,,,,,,,,
"Verwilst, Herman",Herman Verwilst,Q21674644,,,,,,,1947,,faculteit Economie en Bedrijfskunde$$gEB$$s2000,"Verwilst, Herman Cyriel Lucien","$$aEconomie, Bedrijfseconomie en Management",,,311210398,000005865 ,$$a(viaf)311210398,$$a,$$aEerste vermelding Studiegids 1981-82,$$aman,$$aSint-Amandsberg$$bOost-Vlaanderen$$cBelgië,,$$apersoon,$$f19471022$$gunknown$$s1980$$t20131001,,,$$afaculteit Economie en Bedrijfskunde$$gEB$$s2000$$tunknown$$ibuitengewoon hoogleraar$$0mem10:000006129,$$aSeminarie voor financiële economie$$s1981$$t1992$$idirecteur-diensthoofd$$0mem10:000008501,$$avakgroep Financiële Economie$$gEB02$$0mem10:000006137,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/865/000005865-01.jpg,,,,,,,,,,,,,,
"Vettenburg, Nicole",Nicole Vettenburg,Q55232477,,,,,,,1947,,faculteit Psychologie en Pedagogische Wetenscha,,$$aPsychologische en Pedagogische Wetenschappen,,,28504078,000005866 ,$$a(viaf)28504078,$$a,$$aEerste vermelding Studiegids 2002-03,$$avrouw,,,$$apersoon,$$f19470222$$gunknown$$s2002$$t20121001,,"$$aVettenburg, Nicole$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s2010$$tunknown$$ihoofddocent$$0mem10:000006170,,$$avakgroep Sociale Agogiek$$gPP04$$0mem10:000006181,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/866/000005866-01.jpg,,,,,,,,,,,,,,
"Veys, Eric",Eric Veys,Q55231976,,,,,,,1940,,Universiteit Gent$$s2005$$iemeritus,,$$aInwendige Ziekten,,,225359465,000005867 ,$$a(viaf)225359465,$$a,$$aEerste vermelding Studiegids 1973-74,$$aman,,,$$apersoon,$$f19400522$$gunknown$$s1972$$t2005,,,$$aUniversiteit Gent$$s2005$$iemeritus,$$avakgroep Inwendige Ziekten$$gGE01$$s1998$$t2002$$ivoorzitter$$0mem10:000006070,$$avakgroep Inwendige Ziekten$$gGE01$$0mem10:000006070,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/867/000005867-01.jpg,,,,,,,,,,,,,,
"Viaene, Jacques",Jacques Viaene,Q55233312,,,,,,,1944,,Universiteit Gent$$s2009$$iemeritus,,"$$aEconomie, Bedrijfseconomie en Management",,,161492083,000005869 ,$$a(viaf)161492083,$$a,$$aEerste vermelding Studiegids 1988-89,$$aman,,,$$apersoon,$$f19440324$$gunknown$$s1987$$t2009,,"$$aViaene, Jacques$$0ZZZ",$$aUniversiteit Gent$$s2009$$iemeritus,$$aSeminarie voor agro-marketing$$s1988$$t1992$$idirecteur-diensthoofd$$0mem10:000008718,$$avakgroep Landbouweconomie$$gBW01$$0mem10:000006193,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/869/000005869-01.jpg,,,,,,,,,,,,,,
"Viaene, Nicole",Nicole M. Viaene,Q36645763,,,,,,,1962,,faculteit Wetenschappen$$gWE$$s2002$$t2003$$iga,,$$aBiologie,,,284229345,000005870 ,$$a(viaf)284229345,$$a,$$aEerste vermelding Studiegids 2002-04,$$avrouw,,,$$apersoon,$$f19620216$$gunknown$$sunknown$$tunknown,,"$$aViaene, Nicole$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2002$$t2003$$igastdocent$$0mem10:000006034,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/870/000005870-01.jpg,,,,,,,,,,,,,,
"Viane, Ronnie",Ronald Louis Leo Viane,Q19002985,,,,,,,1951,,Plantentuin$$gWE61$$s1995$$t2001$$idiensthoofd$,"Viane, Ronald",$$aBiologie,,,,000005871 ,$$a(biblio)801000393111,$$a(biblio)801000393111,$$aEerste vermelding Studiegids 1995-96,$$aman,,,$$apersoon,$$f19510216$$gunknown$$s1995$$tunknown,,"$$aViane, Ronald$$0ZZZ",$$aPlantentuin$$gWE61$$s1995$$t2001$$idiensthoofd$$0mem10:000006040,$$aPlantentuin$$s1995$$t2001$$idiensthoofd$$0mem10:000006040,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/871/000005871-01.jpg,,,,,,,,,,,,,,
"Victor, Jan",Jan Victor,,,,,,,,1960,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aHeelkunde,,,305832943,000005872 ,$$a(viaf)305832943,$$a,$$aEerste vermelding Studiegids 2011-12,$$aman,,,$$apersoon,$$f19600709$$gunknown$$s2011$$tunknown,,"$$aVictor, Jan$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2011$$tunknown$$ihoofddocent$$0mem10:000006060,$$avakgroep Fysiotherapie en Orthopedie$$gGE03$$s2011$$t2015$$ivoorzitter$$0mem10:000006072,$$avakgroep Fysiotherapie en Orthopedie$$gGE03$$0mem10:000006072,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/872/000005872-01.jpg,,,,,,,,,,,,,,
"Vierendeels, Jan",Jan Vierendeels,Q55232396,,,,,,,1968,2018,faculteit Ingenieurswetenschappen en Architectu,,"$$aEnergie, Elektrotechniek, Elektronica en Werktuigkunde",,,45530029,000005874 ,$$a(viaf)45530029,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,$$aDendermonde$$bOost-Vlaanderen$$cBelgië,,$$apersoon,$$f19681127$$g20180515$$s20021001$$t20180515,,"$$aVierendeels, Jan$$d1968-$$0(viaf)45530029$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s20141001$$t20180515$$igewoon hoogleraar$$0mem10:000006102,"$$avakgroep Mechanica van Stroming, Warmte en Verbranding$$gEA03$$s20111001$$tunknown$$ivoorzitter$$0mem10:000006110","$$avakgroep Mechanica van Stroming, Warmte en Verbranding$$gEA03$$0mem10:000006110",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/874/000005874-01.jpg,,,,,"$$aProf. dr. ir. Jan Vierendeels werd geboren te Dendermonde op 27 november 1968. Hij behaalde het diploma van kandidaat Burgerlijk Ingenieur in 1989, de graad van Burgerlijk Werktuigkundig-elektrotechnisch Ingenieur in 1991 en het diploma van Burgerlijk Ingenieur in de Lucht-en Ruimtevaarttechniek in 1993 aan de Universiteit Gent. Tevens verwierf hij in 1996 de graad van gediplomeerde in de gespecialiseerde studies van Biomedische en Klinische Ingenieurstechnieken aan de Universiteit Gent. In 1998 werd hij Doctor in de Toegepaste Wetenschappen: Werktuigkunde-elektrotechniek met de grootste onderscheiding. Sedert 1 juni 1992 was prof. dr. ir. Jan Vierendeels aangesteld als assistent in het lab Machines en Machinebouw en vanaf 1 januari 1999 als doctor-assistent bij de vakgroep Mechanica van Stroming, Warmte en Verbranding. Met ingang van 1 oktober 2002 werd hij benoemd tot docent en op 1 oktober 2006 als hoofddocent. Sedert 1 oktober 2008 was hij werkzaam als hoogleraar en vanaf 1 oktober 2014 werd hij gewoon hoogleraar. Prof. dr. ir. Jan Vierendeels was sinds 1 oktober 2011 tevens vakgroepvoorzitter van de vakgroep Mechanica van Stroming, Warmte en Verbranding. Buiten de UGent was prof. dr. ir. Jan Vierendeels ook lid van de KAC Lebbeke en de HTB Tennis-en Beachtennisclub Lebbeke. Prof. dr. ir. Jan Vierendeels, gewoon hoogleraar van de faculteit Ingenieurswetenschappen en Architectuur, is op 15 mei 2018 overleden.",,,,,,,,,
"Villeirs, Geert",Geert Villeirs,Q90432461,,,,,,,1968,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aAndere Medische Disciplines,,,,000005875 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$f19680412$$gunknown$$s2007$$tunknown,,"$$aVilleirs, Geert$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2009$$tunknown$$ihoofddocent$$0mem10:000006060,,$$avakgroep Radiologie en Nucleaire Geneeskunde$$gGE16$$0mem10:000006089,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/875/000005875-01.jpg,,,,,,,,,,,,,,
"Vinck, Bart",Bart Vinck,Q55233008,,,,,,,1963,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aAndere Medische Disciplines,,,107351016,000005876 ,$$a(viaf)107351016,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19630725$$gunknown$$s2002$$tunknown,,"$$aVinck, Bart$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2009$$tunknown$$ihoofddocent$$0mem10:000006060,,"$$avakgroep Spraak-, Taal- en Gehoorwetenschappen$$gGE27$$0mem10:000006093",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/876/000005876-01.jpg,,,,,,,,,,,,,,
"Vincke, Johny",Johny Vincke,Q55233419,,,,,,,1956,2009,faculteit Politieke en Sociale Wetenschappen$$g,,"$$aPolitieke, Sociale en Communicatiewetenschappen",,,206703748,000005877 ,$$a(viaf)206703748,$$a,$$aEerste vermelding Studiegids 1996-97,$$aman,,,$$apersoon,$$f19560129$$g20090528$$s1996$$t2009,,,$$afaculteit Politieke en Sociale Wetenschappen$$gPS$$s2005$$t2009$$ihoofddocent$$0mem10:000006217,$$avakgroep Sociologie$$gPS04$$s2005$$t2009$$ivoorzitter$$0mem10:000006226,$$avakgroep Sociologie$$gPS04$$0mem10:000006226,$$uhttp://ugentmemorie.be/personen/vincke-johny-1956-2009$$zUGentMemorie,,,,,,,,,,,,,,
"Vincx, Magda",Magda Vincx,Q21340090,,,,,,,1955,,faculteit Wetenschappen$$gWE$$s2005$$tunknown$$,,$$aBiologie,,,227746213,000005879 ,$$a(viaf)227746213,$$a,$$aEerste vermelding Studiegids 1992-93,$$avrouw,,,$$apersoon,$$f19550716$$gunknown$$s1992$$t20151001,,"$$aVincx, Magda$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2005$$tunknown$$igewoon hoogleraar$$0mem10:000006034,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/879/000005879-01.jpg,,,,,,,,,,,,,,
"Vincze, Laszlo",Laszlo Vincze,,,,,,,,1966,,faculteit Wetenschappen$$gWE$$s2004$$tunknown$$,,$$aChemie,,,,000005880 ,$$a(biblio)801001844976,$$a(biblio)801001844976,$$aEerste vermelding Studiegids 2004-05,$$aman,,,$$apersoon,$$f19660509$$gunknown$$s2004$$tunknown,,"$$aVincze, Laszlo$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2004$$tunknown$$ihoofddocent$$0mem10:000006034,,$$avakgroep Analytische Chemie$$gWE08$$0mem10:000006052,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/880/000005880-01.jpg,,,,,,,,,,,,,,
"Vingerhoets, Guy",Guy Vingerhoets,Q55232877,,,,,,,1961,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aInwendige Ziekten,,,284878983,000005881 ,$$a(viaf)284878983,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19610501$$gunknown$$s2002$$tunknown,,"$$aVingerhoets, Guy$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2009$$tunknown$$ihoofddocent$$0mem10:000006060,,$$avakgroep Inwendige Ziekten$$gGE01$$0mem10:000006070,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/881/000005881-01.jpg,,,,,,,,,,,,,,
"Vlaminck, Lieven",Lieven Vlaminck,Q89929153,,,,,,,1969,,faculteit Diergeneeskunde$$gDI$$s2009$$tunknown,,$$aDiergeneeskunde,,,,000005882 ,$$a(biblio)801000985922,$$a(biblio)801000985922,$$aEerste vermelding Studiegids 2009-10,$$aman,,,$$apersoon,$$f19690817$$gunknown$$s2009$$tunknown,,"$$aVlaminck, Lieven$$0ZZZ",$$afaculteit Diergeneeskunde$$gDI$$s2009$$tunknown$$idocent$$0mem10:000006151,,$$avakgroep Heelkunde en Anesthesie van de Huisdieren$$gDI10$$0mem10:000006167,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/882/000005882-01.jpg,,,,,,,,,,,,,,
"Vlassenroot, Koen",Koen Vlassenroot,Q55233683,,,,,,,1968,,faculteit Politieke en Sociale Wetenschappen$$g,,"$$aPolitieke, Sociale en Communicatiewetenschappen",,,16957584,000005885 ,$$a(viaf)16957584,$$a,$$aEerste vermelding Studiegids 2003-04,$$aman,,,$$apersoon,$$f19680325$$gunknown$$s2003$$tunknown,,"$$aVlassenroot, Koen$$0ZZZ",$$afaculteit Politieke en Sociale Wetenschappen$$gPS$$s2011$$tunknown$$ihoofddocent$$0mem10:000006217,$$avakgroep Conflict- en Ontwikkelingsstudies$$gPS05$$s2014$$tunknown$$ivoorzitter$$0mem10:000006227,$$avakgroep Conflict- en Ontwikkelingsstudies$$gPS05$$0mem10:000006227,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/885/000005885-01.jpg,,,,,,,,,,,,,,
"Vleeming, Adriaan",Adriaan Vleeming,Q55232061,,,,,,,1954,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aBewegings- en Sportwetenschappen,,,283120253,000005886 ,$$a(viaf)283120253,$$a,$$aEerste vermelding Studiegids 2010-11,$$aman,,,$$apersoon,$$f19540618$$gunknown$$sunknown$$tunknown,,"$$aVleeming, Adriaan$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2010$$tunknown$$igastdocent$$0mem10:000006060,,$$avakgroep Revalidatiewetenschappen en Kinesitherapie$$gGE24$$0mem10:000006098,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/886/000005886-01.jpg,,,,,,,,,,,,,,
